idSesion,nivelEducativo,disciplina,fechaSesion,duracionMinutos,totalPrompts,tipoTarea,nivelAsistenciaIA,resultadoFinal,usoPosterior,satisfaccion
SESSION00001,Pregrado,Ciencias de la Computación,03/11/2024,31.2,11,Estudio,2,Tarea completada,Sí,1.0
SESSION00002,Pregrado,Psicología,25/08/2024,13.09,6,Estudio,3,Tarea completada,Sí,2.0
SESSION00003,Pregrado,Negocios,12/01/2025,19.22,5,Programación,3,Tarea completada,Sí,3.3
SESSION00004,Pregrado,Ciencias de la Computación,06/05/2025,3.7,1,Programación,3,Tarea completada,Sí,3.5
SESSION00005,Pregrado,Psicología,18/03/2025,28.12,9,Redacción,3,Tarea completada,Sí,2.9
SESSION00006,Posgrado,Negocios,17/01/2025,7.54,1,Programación,5,Idea desarrollada,Sí,5.0
SESSION00007,Secundaria,Biología,07/09/2024,14.6,3,Redacción,3,Tarea completada,No,1.9
SESSION00008,Pregrado,Biología,26/12/2024,9.2,3,Redacción,5,Tarea completada,Sí,3.9
SESSION00009,Pregrado,Negocios,18/06/2025,8.15,1,Lluvia de ideas,3,Tarea completada,Sí,3.3
SESSION00010,Pregrado,Matemáticas,14/04/2025,5.57,1,Estudio,3,Tarea completada,No,1.4
SESSION00011,Secundaria,Matemáticas,24/02/2025,24.52,6,Redacción,2,Tarea completada,No,1.9
SESSION00012,Pregrado,Psicología,07/11/2024,11.51,5,Programación,3,Tarea completada,No,3.9
SESSION00013,Pregrado,Historia,05/07/2024,15.47,6,Estudio,5,Idea desarrollada,Sí,4.9
SESSION00014,Pregrado,Negocios,03/11/2024,24.13,5,Redacción,4,Idea desarrollada,Sí,3.7
SESSION00015,Secundaria,Ciencias de la Computación,21/05/2025,22.51,8,Redacción,3,Tarea completada,Sí,4.9
SESSION00016,Secundaria,Psicología,22/11/2024,22.16,6,Programación,2,Idea desarrollada,Sí,2.8
SESSION00017,Pregrado,Negocios,27/04/2025,6.46,2,Redacción,5,Confundido,Sí,5.0
SESSION00018,Secundaria,Biología,13/04/2025,18.36,4,Estudio,2,Confundido,No,1.2
SESSION00019,Pregrado,Matemáticas,08/12/2024,18.26,4,Estudio,5,Tarea completada,No,4.9
SESSION00020,Secundaria,Ingeniería,03/08/2024,19.36,6,Estudio,4,Tarea completada,Sí,3.5
SESSION00021,Pregrado,Ingeniería,03/05/2025,26.79,11,Lluvia de ideas,3,Idea desarrollada,Sí,4.4
SESSION00022,Pregrado,Negocios,09/01/2025,11.11,2,Ayuda en tareas,5,Tarea completada,No,4.9
SESSION00023,Pregrado,Biología,21/04/2025,19.87,8,Estudio,2,Idea desarrollada,Sí,3.1
SESSION00024,Pregrado,Matemáticas,05/05/2025,17.65,4,Programación,3,Abandonó,No,3.6
SESSION00025,Posgrado,Psicología,27/11/2024,8.1,3,Ayuda en tareas,5,Idea desarrollada,Sí,4.3
SESSION00026,Pregrado,Biología,14/09/2024,11.86,2,Redacción,2,Idea desarrollada,Sí,3.2
SESSION00027,Pregrado,Historia,28/08/2024,6.42,2,Ayuda en tareas,4,Idea desarrollada,Sí,4.0
SESSION00028,Secundaria,Matemáticas,05/09/2024,27.55,7,Redacción,3,Confundido,Sí,3.5
SESSION00029,Pregrado,Psicología,20/02/2025,27.28,6,Estudio,2,Confundido,No,3.4
SESSION00030,Pregrado,Ingeniería,26/02/2025,5.03,2,Estudio,3,Confundido,No,2.5
SESSION00031,Secundaria,Biología,28/12/2024,23.79,6,Estudio,3,Abandonó,No,2.4
SESSION00032,Pregrado,Ciencias de la Computación,20/04/2025,19.04,7,Estudio,3,Idea desarrollada,No,3.3
SESSION00033,Secundaria,Psicología,06/02/2025,22.89,10,Programación,3,Idea desarrollada,Sí,2.6
SESSION00034,Pregrado,Negocios,10/04/2025,10.59,4,Redacción,3,Abandonó,No,3.9
SESSION00035,Pregrado,Matemáticas,21/03/2025,25.1,7,Programación,4,Confundido,Sí,4.3
SESSION00036,Pregrado,Biología,19/07/2024,5.76,1,Redacción,1,Confundido,Sí,1.2
SESSION00037,Pregrado,Ingeniería,09/04/2025,33.79,8,Redacción,2,Tarea completada,No,1.6
SESSION00038,Pregrado,Psicología,20/09/2024,13.64,5,Redacción,2,Tarea completada,Sí,2.6
SESSION00039,Secundaria,Biología,14/05/2025,2.48,1,Estudio,2,Idea desarrollada,Sí,2.2
SESSION00040,Posgrado,Ingeniería,06/03/2025,11.77,3,Programación,4,Tarea completada,Sí,4.4
SESSION00041,Pregrado,Ciencias de la Computación,21/06/2025,33.29,15,Redacción,2,Idea desarrollada,Sí,1.7
SESSION00042,Pregrado,Biología,13/06/2025,20.27,6,Estudio,3,Confundido,No,3.4
SESSION00043,Secundaria,Historia,23/04/2025,33.63,7,Ayuda en tareas,4,Tarea completada,Sí,5.0
SESSION00044,Pregrado,Psicología,01/01/2025,4.54,1,Redacción,5,Confundido,No,4.6
SESSION00045,Pregrado,Biología,26/01/2025,15.08,3,Redacción,4,Tarea completada,Sí,4.8
SESSION00046,Secundaria,Matemáticas,19/04/2025,27.97,6,Redacción,3,Tarea completada,Sí,1.4
SESSION00047,Secundaria,Ingeniería,18/12/2024,46.11,12,Ayuda en tareas,4,Tarea completada,Sí,3.4
SESSION00048,Pregrado,Biología,21/11/2024,13.25,4,Investigación,2,Confundido,No,1.4
SESSION00049,Posgrado,Ingeniería,27/10/2024,16.9,6,Estudio,3,Tarea completada,Sí,3.7
SESSION00050,Posgrado,Historia,28/02/2025,28.49,5,Redacción,5,Tarea completada,Sí,5.0
SESSION00051,Pregrado,Psicología,14/11/2024,13.43,3,Estudio,2,Idea desarrollada,Sí,2.3
SESSION00052,Posgrado,Negocios,09/09/2024,22.72,11,Estudio,2,Tarea completada,Sí,1.0
SESSION00053,Pregrado,Ciencias de la Computación,08/06/2025,7.98,1,Investigación,4,Idea desarrollada,Sí,4.2
SESSION00054,Secundaria,Biología,10/07/2024,15.52,3,Redacción,5,Tarea completada,Sí,5.0
SESSION00055,Pregrado,Psicología,08/07/2024,6.98,2,Programación,2,Idea desarrollada,Sí,2.8
SESSION00056,Pregrado,Ingeniería,16/12/2024,6.25,2,Programación,4,Tarea completada,Sí,5.0
SESSION00057,Secundaria,Ingeniería,05/09/2024,58.92,19,Ayuda en tareas,4,Tarea completada,Sí,3.9
SESSION00058,Pregrado,Biología,25/06/2024,9.56,4,Programación,3,Tarea completada,Sí,4.9
SESSION00059,Secundaria,Negocios,31/01/2025,31.58,9,Estudio,4,Idea desarrollada,Sí,4.6
SESSION00060,Posgrado,Psicología,09/11/2024,2.38,1,Estudio,5,Tarea completada,No,4.5
SESSION00061,Pregrado,Ciencias de la Computación,30/06/2024,17.72,6,Ayuda en tareas,2,Tarea completada,Sí,3.1
SESSION00062,Pregrado,Matemáticas,09/03/2025,14.78,7,Programación,3,Tarea completada,No,2.5
SESSION00063,Pregrado,Ciencias de la Computación,21/06/2025,10.6,2,Programación,2,Tarea completada,Sí,1.7
SESSION00064,Pregrado,Negocios,15/11/2024,5.47,1,Ayuda en tareas,4,Tarea completada,Sí,3.9
